Scheme Name,Net Asset Value 
HDFC Corporate Bond Fund - Growth Option - Direct Plan,28.0446 
HDFC Corporate Bond Fund - IDCW Option,17.8731 
HDFC Corporate Bond Fund - IDCW Option - Direct Plan,18.3539 
HDFC Corporate Bond Fund - Quarterly IDCW Option,10.461 
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,10.3009 
HSBC Corporate Bond Fund - Direct Annual IDCW,11.9470 
HSBC Corporate Bond Fund - Direct Growth,66.3833 
HSBC Corporate Bond Fund - Direct Quarterly IDCW,11.5431 
HSBC Corporate Bond Fund - Direct Semi Annual IDCW,20.1150 
HSBC Corporate Bond Fund - Regular Annual IDCW,11.7712 
HSBC Corporate Bond Fund - Regular Growth,62.7701 
HSBC Corporate Bond Fund - Regular Quarterly IDCW,11.1916 
HSBC Corporate Bond Fund - Regular Semi Annual IDCW,16.9808 
HSBC Corporate Bond Fund -Regular Plan - Bonus,23.8435 
ICICI Prudential Corporate Bond Fund - Bonus,14.9782 
ICICI Prudential Corporate Bond Fund - Daily IDCW,10.1065 
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW,10.1008 
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW,12.1669 
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,26.3744 
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option,12.8827 
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW,10.2680 
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW,15.1526 
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW,10.2332 
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW,10.2243 
ICICI Prudential Corporate Bond Fund - Growth,25.2981 
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option,12.6555 
ICICI Prudential Corporate Bond Fund - Monthly IDCW,10.4224 
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend,10.0277 
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend,10.0770 
ICICI Prudential Corporate Bond Fund - Weekly IDCW,10.3040 
ICICI Prudential Corporate Bond Fund -Quarterly IDCW,10.9621 
ICICI Prudential Corporate Bond Fund Retail Daily Dividend,10.0275 
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend,10.3041 
ICICI Prudential Corporate Bond Fund Retail Growth,22.7853 
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend,10.3008 
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend,10.9335 
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend,10.2202 
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment),1672.9153 
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),1237.4941 
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),2880.4071 
Invesco India Corporate Bond Fund - Direct Plan - Growth,2879.4947 
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1260.0791 
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),1167.2058 
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment),2843.3972 
Invesco India Corporate Bond Fund - Growth,2708.7545 
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment),1552.5686 
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment),1165.2222 
Kotak Coporate Bond Fund- Retail Plan-Growth Option,2034.9063 
Kotak Corporate Bond Fund- Direct Plan- Growth Option,3324.4378 
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option,1072.9974 
Kotak Corporate Bond Fund- Institutional Plan-Growth Option,2090.4924 
Kotak Corporate Bond Fund- Regular Plan-Growth Option,3206.5406 
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option,1044.5669 
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option,1066.6837 
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option,1040.0538 
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option,1052.3061 
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option,1052.6393 
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option,1052.7994 
